author,citations,description,title,url
MR Hamel,,"This article analyzes the reconstruction of Kant's categoric imperative by Habermas' discourse 
ethics. Various scientific methodologies were combined including deductive, typological, …",From Kantian to habersmanian ethics: socio-juridical implications of the discursive reconfiguration of the categorical imperative,https://search.proquest.com/openview/8082f8f2cd39d395bddef3c67c96e62e/1?pq-origsite=gscholar&cbl=2040298
T Buksinski,,"… Categorical Imperative in … imperative generates dubious political imperative of submission 
to all authorities. It is so because political subjects do not possess the power, according to Kant…","Categorical Imperative: Personal, Legal and Political",https://www.infona.pl/resource/bwmeta1.element.2f184839-f923-3c5b-b1b3-fc30a589f702
G Nessler,,"… Kant zu reflektieren. In Kants Argumentation lassen sich zwei Tendenzen (strains) oder 
Ebenen nachweisen: „(a) die „ethische” Ebene, auf der Kant … , auf der Kant durch eine Analyse …","TC Williams, The Concept of the Categorical Imperative (Book Review)",https://search.proquest.com/openview/c3c23020a340daeaf65597e427673f2b/1?pq-origsite=gscholar&cbl=1817983
O Sensen,,"… Kantian reply (Section 2). I shall then argue – with the help from Kant’s Formula of Humanity 
– that the Categorical Imperative … one can apply the Categorical Imperative, and suggest a …",Universalizing as a moral demand,https://revista-teste.marilia.unesp.br/index.php/ek/article/view/3815
S Oh,,"… is to show that the weaknesses of Kant’s theory of categorical imperative (""the Theory"") … 
attain the state of integrity; (2) Kant underestimates the fact that repeated human actions produce …",The Categorical Imperative and the EastAsian Doctrine of Self Cultivation-칸트의 정언명령과 동양의 수양론,https://www.earticle.net/Article/A48611
LS Grubba,,"… is to consider Kant’s categorical imperative, and his notion of autonomy, dignity and … rights 
and freedoms is both of the categorical imperatives: universalize its maximum (universal rights…",… CATEGÓRICO KANTIANO THE CONNECTION BETWEEN THE UNIVERSAL DECLARATION OF 1948 AND KANT'S CATEGORICAL IMPERATIVE,https://scholar.archive.org/work/4m75zugvo5c6lhx6lje7yiq2z4/access/wayback/http://www.faculdadedamas.edu.br/revistafd/index.php/relacoesinternacionais/article/download/592/512
M Boss,,"… article suggests that MacIntyre’s historicism renews the main characteristics of a moral 
categorical imperative within a theoretical framework that provides an alternative to that of Kant. …",The moral philosophy of Alasdair MacIntyre: A historicist defence of the categorical imperative,https://www.cairn-int.info/journal-revue-d-ethique-et-de-theologie-morale-2019-4-page-43.htm
I ,,"… Obligation is the necessity of a free action when viewed in relation to a categorical 
imperative of reason. An … All other imperatives are technical, and they are altogether …",Introduction to the Metaphysics of Morals,https://books.google.com/books?hl=en&lr=&id=QmjrAgAAQBAJ&oi=fnd&pg=PT3&dq=kant+categorical+imperative+&ots=SLSD6vixW_&sig=ViNsMZhPhNdnFPM87eN3HHueHV0
D Henrich,,"… at a derivation of the formula of the categorical imperative in a few pages. For the Groundwork 
… But we have no reason to assume that in 1785 Kant had any intention at all of following …",The deduction of the moral law: the reasons for the obscurity of the final section of Kant's Groundwork of the metaphysics of morals,https://books.google.com/books?hl=en&lr=&id=-7F4BUYuunoC&oi=fnd&pg=PA303&dq=kant+categorical+imperative+&ots=1jVrCasQ8j&sig=Ce8GxCIxy8v0b3lKJg-WbZVcqEw
L HeonGyu - 2010 - philpapers.org,,"Lim HeonGyu, Confucian Moral Principles and Kant's Categorical Imperative - PhilPapers … 
Can Positive Duties be Derived from Kant’s Categorical Imperative?… Categorical …",Confucian Moral Principles and Kant's Categorical Imperative,https://philpapers.org/rec/HEOCMP
C Ess,,"… He moves Kant's categorical imperative beyond its 'monological' reflection by demanding 
that we emphatically take into consideration the viewpoints of all who would be affected by the …",Introduction to Habermas's Discourse Ethics,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b103e6d15230aa882e3aa6218c318b058f1a6fb2
A Caviglia Marconi - 2019 - lareferencia.info,,"… Kant can contribute to enrich the debate on the subject. This paper presents the way in which 
it is possible to interpret Kant’s categorical imperative … of the categorical imperative, which …",Kant's categorical imperative and republicanism from the perspective of civil society,https://www.lareferencia.info/vufind/Record/PE_a214fea258d7d6b0ae5260eb6799d4fb
J Deigh,,"… The kind they lack is the kind that moral philosophers since Kant have identified as categorical 
imperatives. These are categorical judgments about what one ought to do that a person …","Empathy, Justice, and Jurisprudence",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.2041-6962.2011.00058.x
O Höffe - 2002 - books.google.com,,"… Kant and his categorical imperative must surely be a demonstration that the categorical 
imperative … all neoKantian moral theory since Hegel, including that of Rawls and Habermas. For …",Categorical principles of law: a counterpoint to modernity,https://books.google.com/books?hl=en&lr=&id=ShJckv3zSPAC&oi=fnd&pg=PA105&dq=kant+categorical+imperative+&ots=IsGJ8F77x8&sig=EMH2GkJw-6DQkC07L7SKtusemyY
TE Hill,,"… as an perspective for moral legislation, contrasts significantly with Rawls's idea of the 
original position, rule-utilitarianism, and Kant's other formulas of the Categorical Imperative. …",A Kantian perspective on moral rules,https://www.jstor.org/stable/2214249
A Gohar,,"… is an imperative … Kant said that morality must be categorical imperatives and must apply to 
all rational beings unrelatedly their wants and feelings. Therefore, the best principle of Kant’s …",A critical review of Kant thoughts on ethical education: a reflection on current era,http://educa.fcc.org.br/scielo.php?pid=S1809-43092023000100506&script=sci_arttext
AM Baxley,,"… [We] are less concerned with what it is in the case of a categorical imperative that makes 
moral action into one that reason follows, and more with why that action appears to us as …","The Problem of Obligation, the Finite Rational Will, and Kantian Value Realism",https://www.tandfonline.com/doi/abs/10.1080/0020174X.2012.746033
J Elster,,"… To begin with the latter, consider Kant's"" categorical imperative"" which, roughly speaking, … 
Suppose I am moved by the categorical imperative and try to decide how much I should con…",Selfishness and altruism,https://books.google.com/books?hl=en&lr=&id=y-N9VNpXjawC&oi=fnd&pg=PA69&dq=kant+categorical+imperative+&ots=jcMnac9CSd&sig=NoWX_n5uHqzaHIRIGXkeV6x5Iq0
R Langton,,"… Nothing has any point–except of course the categorical imperative. But morality itself has 
become a torment, not because it is too difficult, but because it is too easy. Without the counter…",Maria von Herbert's challenge to Kant,https://books.google.com/books?hl=en&lr=&id=KaHbCgAAQBAJ&oi=fnd&pg=PA377&dq=kant+categorical+imperative+&ots=YVSSUxeKz9&sig=UhdvUwNYYSncB3r3mAZJXQpcYcY
EL Fackenheim - 1954 - cambridge.org,,"… Kantian language, his maxim, is the moral law itself. This is the celebrated categorical imperative: 
… The categorical imperative speaks to our consciences the words: “Thou oughtst, hence …",Kant and radical evil,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C6AB22CB543A37CAE93092C88801B8A6/stamped-9781580466400c3_p59-74_CBO.pdf/kant-and-radical-evil.pdf
J Timmermann,,"… Kantian conscience is thus the power within the human agent—within every human agent—… 
the law-of-nature formulation of the categorical imperative Kant says that the agent “still has …","Kant on conscience,“indirect” duty, and moral error",https://www.pdcnet.org/ipq/content/ipq_2006_0046_0003_0293_0308
C McKinnon,,"… elements of these key Kantian notions can be reconciled … Kant's apparent exceptionless 
absolutism (which Hill claims is required by Kant's understanding of the categorical imperative …","Hill, Thomas E., Jr. Human Welfare and Moral Worth: Kantian Perspectives",https://go.gale.com/ps/i.do?id=GALE%7CA118445324&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00346632&p=AONE&sw=w
T Hopton,,"… It is important to emphasize that although Kant calls t it is rather a maxim which Kant thinks 
we can will universally and which to the categorical imperative and thus can be morally …",Kant's Two Theories of Law,https://www.jstor.org/stable/26212252
PH Lee,,"Does Kant's categorical imperative allow for a concept of Mercy ? … Does Kant's 
categorical imperative allow for a concept of Mercy ? … Imperative …",Does Kant's categorical imperative allow for a concept of Mercy?,https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=3712873
SA Bowen,,"… the second form of the categorical imperative, but actively … the third form of the categorical 
imperative because it was not … decision making than Kant's categorical imperative, the case …",Using classic social media cases to distill ethical guidelines for digital engagement,https://www.tandfonline.com/doi/abs/10.1080/08900523.2013.793523
J Schulz,,"… Goldman argues that, at least in our current sexual context, Kant’s second formulation of 
the categorical imperative is best interpreted exactly as Kant interprets it: as a demand for “…","Good sex on Kantian grounds, or a reply to Alan Soble",https://www.pdcnet.org/eip/content/eip_2007_0008_0002_0301_0317
J Togelius,,"… This game can be seen as an implementation and procedural critique of Kant’s 
categorical imperative, suggesting to the player that (1) the maxim of an action is in general …",A Procedural Critique of Deontological Reasoning.,http://julian.togelius.com/Togelius2011A.pdf
ARC Duncan - 1961 - JSTOR,,"… treatment of the moral law and the types of imperatives still seems to suffer from some of the 
… law with the categorical imperative, Beck none the less speaks of categorical imperatives as ""…",Commentary on Kant's Critique of Practical Reason,https://www.jstor.org/stable/2183616
J Furner,,"… One approach to Kant’s argument for the Formula of the End in Itself (FEI) takes Kant to 
ground FEI as a possible categorical imperative with a regressive argument that rests on a non-…",Kant's Argument for the Formula of the End in Itself: A Logical Pluralism Interpretation,https://www.pdcnet.org/idstudies/content/idstudies_2018_0999_12_19_81
JR Harris,,"… Two of these maxims, the golden rule and Kant's categorical imperative, are expressive of 
the denotological approach to ethical decision making. A denotological approach emphasizes …",Ethical values and decision processes of male and female business students,https://www.tandfonline.com/doi/pdf/10.1080/08832323.1989.10117365
SM Kaye - 2017 - rfwp.com,,"Please let us assure you that this message could not have been delivered to anyone else. 
We very carefully arranged for you to receive it at this moment. You will come to understand …",The Categorical Imperative,https://www.rfwp.com/wp-content/uploads/2022/01/the-categorical-imperative-student-sample-pages.pdf
B Herman,,"… This paper began in the startled realization that little if anything is said in Kant's ethics about 
the … Kant's ethics assesses actions as the agent's maxim satisfies the Categorical Imperative (…",Murder and mayhem: violence and Kantian casuistry,https://www.jstor.org/stable/27903148
P Lo,,"… the Kantian Categorical Imperative all focus on its first formulation in the Grundelgung zur 
Metaphysik der Sitten, while treating the other two formulations which Kant … of Kantian ethics by …","A critical reevaluation of the alleged"" empty formalism"" of Kantian ethics",https://www.journals.uchicago.edu/doi/pdf/10.1086/292223
J Kruger,,"… , Immanuel Kant, first used the term “categorical imperative” in … A categorical imperative 
denotes an absolute, unconditional … reverence for the moral law set by the categorical imperative. …",Pharmacists' categorical imperative: president's message,https://journals.co.za/doi/abs/10.10520/EJC146892
LW Beck,,"… consequence of the categorical imperative in the form which … categorical imperative which 
requires us to treat human beings as end-setting ends-in-themselves, and it leads to what Kant …",Kant and the Right of Revolution,https://www.jstor.org/stable/2708355
A Stables,,"… They underpin Kant’s ethical thinking in the Metaphysic of Morals, Critique of Practical 
Reason and elsewhere, but the moral Categorical Imperatives are expressed rather differently. …",The unsustainability imperative? Problems with 'sustainability'and 'sustainable development'as regulative ideals,https://www.tandfonline.com/doi/abs/10.1080/13504622.2012.729813
F Englander,,"… Kantian perspective. In particular, they adopt the Formula of Humanity version of Kant’s 
categorical imperative, … Arnold and Bowie use other elements from Kant’s system of ethics, but …",Sweatshops: Kant and consequences,https://www.cambridge.org/core/journals/business-ethics-quarterly/article/sweatshops-kant-and-consequences/D498715C499B70361FEC078D176E4E1A
A Buchanan,,"… Her main thesis is that Kant's Categorical Imperative does possess the cardinal virtue of 
fertility. To establish this thesis she must develop an account of the application of this principle. …",Acting on Principle: An Essay in Kantian Ethics,https://www.jstor.org/stable/2025710
RB Louden,,"… '—the categorical imperative. Since human virtue is defined in terms of conformity to law and 
the categorical imperative, it appears now that what is primary in Kantian ethics is not virtue …",Kant's virtue ethics,https://www.cambridge.org/core/journals/philosophy/article/kants-virtue-ethics/16E2D3190B42A5CFFB9E0FC6C930F6B5
D Cummiskey - 1996 - books.google.com,,"… In chapters 2 and 3, we see that Kant's analysis of the concept of a categorical imperative, 
his account of the motive of duty, and his argument that moral principles must be …",Kantian consequentialism,https://books.google.com/books?hl=en&lr=&id=mcRJFnRKlAoC&oi=fnd&pg=PR13&dq=kant+categorical+imperative+&ots=ZGEKz22Xqv&sig=euUash5chXQNlnt7Z2w3Pl2pViw
J Paley,,"… Kant's primary sense is the ability to disengage from inclination and recognize the categorical 
imperative … However, an individual cannot even begin to apply the categorical imperative …",Virtues of autonomy: the Kantian ethics of care,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1466-769X.2002.00094.x
CM Korsgaard,,"… the Foundations, Kant does try to argue that we can be motivated by the categorical imperative, 
… The conclusion is that, if we are rational, we will act as the categorical imperative directs. …",Skepticism about practical reason,https://www.academia.edu/download/34425235/korsgaard.pdf
O Sensen,,"… If Kant does not believe that the categorical imperative is an inborn principle in … categorical 
imperative spells out a necessary condition for coordinating a plurality of ﬁnite rational 1’Kant …",Kant's constructivism,https://books.google.com/books?hl=en&lr=&id=e2dxh1tG6TQC&oi=fnd&pg=PA63&dq=kant+categorical+imperative+&ots=4SILYhz-6I&sig=gfwITj4jk9NyNaX4EE1TnXFgNBY
金弘仁,,"칸트는 哲學을 形式的 철학과 實質的 철학으로 區別하고 前者만이 眞正한 철학이라고 하였다. 
진정한 철학을 對象의 側面에서 自然哲學과 道德哲學으로 구별하였고, 또한 方法의 측면에서는 …",Kant 의 Categorical Imperative 에 대한 小考,https://scholar.kyobobook.co.kr/article/detail/4050025666349
CF Rostbøll,,"… In the following, I argue that this principle is not a mere application of the categorical 
imperative. The aim of my argument is to show that there is something inherently political in Kant’s …",Kant and the critique of the ethics-first approach to politics,https://www.tandfonline.com/doi/abs/10.1080/13698230.2017.1403125
S Sikka,,"… Building on this analysis, I claim, Being and Time reaffirms the second version of Kant’s 
categorical imperative, which states that humanity should never be treated merely as a means, …",Kantian ethics in Being and Time,https://www.pdcnet.org/jpr/content/jpr_2006_0031_0309_0334
DJ Baker,,"… in Kant's scheme. A further problem with Dan-Cohen's use of the second formulation of Kant's 
categorical imperative … I For Kant that categorical imperative can only exist if we are able to …","The harm principle v Kantian criteria for ensuring fair, principled and just criminalisation",https://search.informit.org/doi/pdf/10.3316/ielapa.200809147
P Frierson,,"… Twelve years later, the first function, of applying the categorical imperative to specifically 
human situations, is incorporated into Kant's Metaphysics of Morals (1797). For instance, Kant …",The moral importance of politeness in Kant's anthropology,https://www.cambridge.org/core/journals/kantian-review/article/moral-importance-of-politeness-in-kants-anthropology/0BA74894D5F19F169ADC07BE7C7A33FA
J Habermas - 1990 - books.google.com,,"… His ""discourse ethics,"" however, replaces Kant's categorical imperative with a procedure of 
… of Kantian foundationalism and the substitution of a dialectical mode of justification for Kant's …",Moral consciousness and communicative action,https://books.google.com/books?hl=en&lr=&id=fmYjgiUMy7EC&oi=fnd&pg=PR7&dq=kant+categorical+imperative+&ots=-chP68DjEs&sig=A5qYv2PqXkd2HbWSwNG6yGjlIxM
"AW Wood, M Timmons, S Baiasu",,"… (“ends that are in their concept duties”), then a categorical imperative itself … categorical 
imperatives: our own perfection and the happiness of others. To these necessary moral ends Kant …",Kant on practical reason,https://books.google.com/books?hl=en&lr=&id=27MPO3VvJzkC&oi=fnd&pg=PA57&dq=kant+categorical+imperative+&ots=4yO5Q77pVg&sig=1YTxdmbKOyzgKRvVMb1SFbW2Igg
S Darwall,,"… A central claim of the Kantian approach to ethics is Kant's famous thesis that moral obligations 
or oughts are “categorical imperatives.” This Kantian thesis has four aspects: normativity, …",Morality and practical reason: A Kantian approach,https://academic.oup.com/edited-volume/41058/chapter/349465797?searchresult=1&itm_content=Oxford_Academic_Books_0&itm_campaign=Oxford_Academic_Books&itm_source=trendmd-widget&itm_medium=sidebar
J Hengelbrock,,"… of Kant's categorical imperative. Thinking that, in Kant's opinion, the categorical imperative 
gives … at the same time we think that the categorical imperative is the essential and sufficient …",Categorical Universalism and Cultural Pluralism Based on Man's Unconditional Duty,https://brill.com/downloadpdf/book/9789004501447/B9789004501447_s028.pdf
"M Schönfeld, M Thompson - 2003 - plato.stanford.edu",,"… Later, he would develop a metaphysics whose claims would anticipate scientific discoveries, 
and an ethics that culminated in the Categorical Imperative. His friends chose the dictum …",Kant's philosophical development,https://plato.stanford.edu/Entries/kant-development/
A Volpone,,"… they live by, so that rules are categorical (universalizable and impersonal) and normatively 
imperative (obligatory). Then I shall consider Kant’s Categorical Imperative (CI) in light of the …",Supposing the Law: Nomos and Categorical Imperatives in Never Let Me Go,https://www.degruyter.com/document/doi/10.1515/pol-2020-2006/html
JS Callender,,"… Categorical Imperative. To do otherwise is to renounce a fundamentally human wellspring 
of motivation. In the Critique of Practical Reason, Kant … moral life as Kant conceptualises it is …",Ethics and aims in psychotherapy: a contribution from Kant.,https://jme.bmj.com/content/24/4/274.short
W Godzich,,"… Categorical Imperative, which is actually contextless from a theoretic point of view, since it 
only enunciates a desideratum for the theory that must underlie the action-restores cognitive …",Correcting Kant: Bakhtin and intercultural interactions,https://www.jstor.org/stable/303380
D Klimchuk,,"… of morality has long been associated with Kant and the ethics of the Groundwork of the 
Metaphysics of Morals.In particular, the second formulation of the categorical imperative (CI), the …",Three accounts of respect for persons in Kant's ethics,https://www.cambridge.org/core/journals/kantian-review/article/three-accounts-of-respect-for-persons-in-kants-ethics/AA665FE5E2D1E4BEE812DD9549DCE6B2
AM Baxley,,"… its supreme principle (the categorical imperative). Nevertheless, in these texts, Kant also 
paints a … objections to Kant's rationalism. From the perspective of these foundational works in …",Kantian virtue,https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/j.1747-9991.2007.00079.x
AA Guseinov,,"… golden rule and Kant’s categorical imperative and considers … formulated by him (the categorical 
imperative) with the golden … second formulation of the categorical imperative, Kant says: “…",The golden rule of morality,https://www.tandfonline.com/doi/abs/10.2753/RSP1061-1967520303
V Rohden,,"… Kant in his Critique of Practical Reason (KpV) ignored the various formulations of the 
Categorical Imperative, … a general formula of the moral imperative should be understood from the …",Autonomy as general principle of the categorical imperative,http://ve.scielo.org/scielo.php?pid=S0798-43242008000200006&script=sci_abstract&tlng=en
K Deligiorgi,,"… As a reading of Kant, The Form of Practical Knowledge belongs … solutions to old problems 
in Kant interpretation. As a contribution to … condition stipulated by the categorical imperative. …","Stephen Engstrom The Form of Practical Knowledge: A Study of the Categorical ImperativeCambridge, MA, and London: Harvard University Press, 2009 Pp. xiii+ 260 …",https://www.cambridge.org/core/journals/kantian-review/article/engstrom-stephenthe-form-of-practical-knowledge-a-study-of-the-categorical-imperativecambridge-ma-and-london-harvard-university-press-2009-pp-xiii260-hbk-369545004995-isbn-9780674032873/4BCA3001C22E2E99D1C60F0C7E2FE449
P Dietrichson - 1962 - degruyter.com,,"… Kant does not say it is impossible for us to know that our interest based on pure respect for 
the categorical imperative … interest in obeying the categorical imperative was motivating factor, …",WHAT DOES KANT MEAN BY'ACTING FROM DUTY'?,https://www.degruyter.com/document/doi/10.1515/kant.1962.53.1-4.277/html
B Longuenesse,,"… I suggest what Freud has in mind with this explicit mention of Kant’s categorical imperative 
are at least three features of the mental life finding expression in the moral ‘I ought to’ as laid …",I—Béatrice Longuenesse: Kant's 'I'in 'I Ought To'and Freud's Superego,https://academic.oup.com/aristoteliansupp/article-abstract/86/1/19/1780056
D Lindstedt,,"… The categorical imperative demands that we try to bring about the highest good on earth, 
but our daily experience with the world suggests that such attempts will be frustrated. Yet the …",Kant: progress in Universal History as a postulate of practical reason,https://www.degruyter.com/document/doi/10.1515/kant.1999.90.2.129/html
HB Jones Jr,,"… A person is aware of the categorical imperative because he knows he has violated it. His … 
When we catch ourselves in the act of violating the categorical imperative, Kant observed, ""we …","Immanuel Kant, Free Market Capitalist",https://search.proquest.com/openview/a6cca0f54bfa9a69ac46a26a34e74417/1?pq-origsite=gscholar&cbl=33879
M Willaschek,,"… On pages 412–417 of the GMS, Kant introduces his conception of the will as practical reason 
and the closely related distinction between hypothetical and categorical imperatives in a …",Practical reason,https://books.google.com/books?hl=en&lr=&id=FAsmwVC0Bq8C&oi=fnd&pg=PA121&dq=kant+categorical+imperative+&ots=BeRX8J0aXv&sig=jUzJzqovpy_EBrCqaK4IZ65HwHo
FS Trincia,,"… that we still have not met the Kantian ‘‘categorical imperative.’’ It is clear again that, while 
the non-categorical imperative depends in Kant on the conditioning of duty which results from …",The ethical imperative in Edmund Husserl,https://www.academia.edu/download/86595364/s10743-007-9022-220220528-1-1p4htj2.pdf
ES Nelson,,"… The justification, including the ultimate norm of the moral point of view in the categorical 
imperative, and the application of norms should be distinguished as two different practical …",Moral and political prudence in Kant,https://www.pdcnet.org/ipq/content/ipq_2004_0044_0003_0305_0319
S De Colle,,"… We have seen that for Aristotle, Kant, and Mill acting according to the moral criterion of 
their general ethical theories – namely according to virtue, the categorical imperative and the …",Moral motivation across ethical theories: What can we learn for designing corporate ethics programs?,https://link.springer.com/article/10.1007/s10551-007-9545-7
M Schroeder,,"… Practical Reason—showing that understanding Kant’s view of … Kant’s moral philosophy 
relies on an important distinction between categorical imperatives and the Categorical Imperative…",Scope and Jurisdiction,https://books.google.com/books?hl=en&lr=&id=UoKXBgAAQBAJ&oi=fnd&pg=PA89&dq=kant+categorical+imperative+&ots=KcI2s8XtnS&sig=yeMdwJUQS4wLbvTroM0HaTfg-bc
T Airaksinen,,"… between Kant's and Hobbes's political views and evaluate the effectiveness of Kant's … life, 
the use and role of the Golden Rule (Categorical Imperative) in political thought, the quest for …","Kant on Hobbes, peace, and obedience",https://www.tandfonline.com/doi/abs/10.1016/j.histeuroideas.2004.06.002
JM Cooper,,"… is expressed in Kant’s categorical imperative. The categorical imperative requires that one 
set … For Kant, autonomy accompanies individual (finite) rationality, and has nothing to do with …",Stoic autonomy,https://www.cambridge.org/core/journals/social-philosophy-and-policy/article/stoic-autonomy/E41CB7D8F8874F253C9F16B4F158C698
WE Steinkraus,,"… stance, that “Kant was inspired by Rousseau's work to produce his categorical imperative',"" 
while Paul Schilpp is careful to point out that though there was inspiration, Kant “was far from …",Kant and Rosseau on Humanity,https://search.proquest.com/openview/98a3397b8f9fc2080f9047a91017a11f/1?pq-origsite=gscholar&cbl=1819057
"M Woermann, P Cilliers",,"… Kant’s categorical imperative, the provisional imperative is sub stantively empty; however, 
unlike Kant’s imperative, our imperative … all imperatives. We further argue that the provisional …",The ethics of complexity and the complexity of ethics,https://journals.co.za/doi/abs/10.10520/EJC121813
AO Lovejoy,,"… characteristic, of Kant's ethical ideas, the second form of the categorical imperative, which 
… That part of Kant's theory is intimately related to his fundamental conceptions; it expresses …",Immanuel Kant: Darstellung und Würdigung,https://www.pdcnet.org/jppsm/content/jppsm_1907_0004_0020_0554_0555
R Steinmann,,"… The universal elements of dignity as applied in German and South African law (based on 
Kant's categorical imperative) are identified and discussed next, in an attempt to begin to grasp …",The core meaning of human dignity,https://www.ajol.info/index.php/pelj/article/view/145058
CM Neugebauer,,"… This will also contradict the categorical imperative, thus … the categorical imperative, 'namely 
that the will must be autonomous and not led by the heteronomous causes to duty, or as Kant …",The racism of Hegel and Kant,https://brill.com/downloadpdf/book/9789004452268/B9789004452268_s017.pdf
B Lahno,,"… have the form of a categorical imperative. Categorical imperatives are part of social reality 
and… gives a concise characterization of Kant’s distinction between hypothetical and categorical …",Making Sense of Categorical Imperatives,https://www.degruyter.com/document/doi/10.1515/auk-2006-0106/html
O Neurath,,"… (Kant's categorical imperative), is now supplanted by in quiries which make it possible for 
man to attain happi ness by definite arrangements or definite methods of con duct (behavior). …",Physicalism: the philosophy of the Viennese circle,https://www.jstor.org/stable/27901327
CO de Landázuri,,"… do un procedimiento similar al de Kant a la hora de otorgar una … Engstrom es describir la 
forma del imperativo categórico en Kant, … Esta una es cuestión que después de Kant —el pro- …","ENGSTROM, S., The Form of Practical Knowledge. A Study of the Categorical Imperative, Harvard University Press, Cambridge MA, 2009, 260 pp.",https://revistas.unav.edu/index.php/anuario-filosofico/article/download/1378/1258
H Pauer-Studer - 2021 - uscholar.univie.ac.at,,"… Let me therefore try to embed the proposed argument in Kant’s framework. Kant seeks to 
justify the Categorical Imperative by a transcendental argument. The structure of such an …",The Unity of Kant's Practical Philosophy,https://uscholar.univie.ac.at/detail/o:1541903.pdf
M Rothhaar,,"… an act violates the categorical imperative in its first formulation … that is in agreement with the 
imperative if and only if every … the first formulation of the categorical imperative. What the “end-…",Human dignity and human rights in bioethics: the Kantian approach,https://link.springer.com/article/10.1007/s11019-010-9249-0
